,Year,Brand,Model,Driven_Kms,Fuel_Type,Transmission_Type,Features,City,Price(L),EMI(month)
4046,2017,Hyundai,Elite i20 MAGNA EXECUTIVE 1.2,23618,Petrol,Manual,Regularly Serviced,Gurgaon,5.45,"10,655"
4047,2020,Maruti,Baleno SIGMA PETROL 1.2,30818,Petrol,Manual,Safety Specs.,Gurgaon,5.26,"10,283"
4048,2020,Ford,Ecosport TITANIUM 1.5 SPORTS(SUNROOF) PETROL,68001,Petrol,Manual,Spl. Reg. No.,Gurgaon,9.32,"17,740"
4049,2015,Maruti,Celerio ZXI,40763,Petrol,Manual,Spl. Reg. No.,Gurgaon,3.62,"7,077"
4050,2016,Maruti,Alto 800 VXI,28259,Petrol,Manual,Regularly Serviced,Gurgaon,2.88,"5,630"
4051,2019,Mahindra,XUV300 W6 1.5 DIESEL,62238,Diesel,Manual,Regularly Serviced,Gurgaon,7.65,"17,017"
4052,2021,Hyundai,VENUE SX 1.0 TURBO,49451,Petrol,Manual,Top Model,Gurgaon,8.34,"15,874"
4053,2017,Honda,City 1.5L I-VTEC SV,16082,Petrol,Manual,Regularly Serviced,Gurgaon,6.90,"13,490"
4054,2017,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,58485,Petrol,Manual,Regularly Serviced,Gurgaon,4.10,"8,016"
4055,2011,Maruti,Swift VXI D,77021,Petrol,Manual,100% Tyre Life,Gurgaon,1.89,"8,897"
4056,2018,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,17247,Petrol,Manual,Regularly Serviced,Gurgaon,7.42,"14,498"
4057,2020,Maruti,Alto VXI,27437,Petrol,Manual,Regularly Serviced,Gurgaon,3.86,"7,546"
4058,2019,Hyundai,VENUE SX PLUS 1.0 TURBO DCT,38203,Petrol,Automatic,Spl. Reg. No.,Gurgaon,9.14,"17,397"
4059,2021,Tata,ALTROZ XZ 1.5 RTQ,38295,Diesel,Manual,As Good As New,Gurgaon,7.31,"14,291"
